receptor	isoform_id	number_of_transcripts	transcripts	topological_annotation	number_of_tissues	tissues	varying_segments	functional_annotation	reference (PMID)	ProteomicsDBID	ProteomicsDBlink
EDNRA	1	1	ENST00000358556	truncated	29	Breast, Muscle, Testis, Brain, Prostate, Pituitary, Skin, Nerve, Small Intestine, Adrenal Gland, Adipose Tissue, Thyroid, Colon, Lung, Salivary Gland, Pancreas, Esophagus, Blood Vessel, Stomach, Fallopian Tube, Uterus, Heart, Vagina, Bladder, Spleen, Liver, Ovary, Kidney, Cervix Uteri	TM2, ECL1, TM3, ICL2, TM4, ECL2, TM5	Altered ligand binding / efficacy	9820169	0	0
EDNRA	2	1	ENST00000339690	truncated	25	Breast, Muscle, Testis, Prostate, Pituitary, Skin, Nerve, Adrenal Gland, Adipose Tissue, Thyroid, Colon, Lung, Salivary Gland, Esophagus, Blood Vessel, Stomach, Uterus, Heart, Vagina, Bladder, Spleen, Liver, Ovary, Kidney, Cervix Uteri	TM2, ECL1, TM3, ICL2, TM4, ECL2, TM5, ICL3, TM6, ECL3, TM7, H8, C-term	0	0	0	0
EDNRB	1	1	ENST00000446573	preserved	30	Breast, Muscle, Testis, Brain, Prostate, Pituitary, Skin, Nerve, Small Intestine, Adrenal Gland, Adipose Tissue, Thyroid, Colon, Lung, Salivary Gland, Pancreas, Esophagus, Blood Vessel, Blood, Stomach, Fallopian Tube, Uterus, Heart, Vagina, Bladder, Spleen, Liver, Ovary, Kidney, Cervix Uteri	H8, C-term	Altered signalling properties	8810293	0	0
FPR1	1	1	ENST00000600815	truncated	30	Breast, Muscle, Testis, Brain, Prostate, Pituitary, Skin, Nerve, Small Intestine, Adrenal Gland, Adipose Tissue, Thyroid, Colon, Lung, Salivary Gland, Pancreas, Esophagus, Blood Vessel, Blood, Stomach, Fallopian Tube, Uterus, Heart, Vagina, Bladder, Spleen, Liver, Ovary, Kidney, Cervix Uteri	TM5, ICL3, TM6, ECL3, TM7, H8, C-term	0	0	0	0
FPR2	1	1	ENST00000599326	truncated	4	Testis, Lung, Blood, Spleen	TM4, ECL2, TM5, ICL3, TM6, ECL3, TM7, H8, C-term	0	0	0	0
FPR2	2	1	ENST00000600722	truncated	5	Testis, Skin, Adipose Tissue, Lung, Blood	TM3, ICL2, TM4, ECL2, TM5, ICL3, TM6, ECL3, TM7, H8, C-term	0	0	0	0
FPR2	3	1	ENST00000600258	truncated	5	Skin, Adipose Tissue, Lung, Blood, Spleen	ECL1, TM3, ICL2, TM4, ECL2, TM5, ICL3, TM6, ECL3, TM7, H8, C-term	0	0	0	0
FSHR	1	1	ENST00000304421	preserved	3	Testis, Blood Vessel, Ovary	N-term	Altered ligand binding / efficacy	20061434	0	0
G137A	1	1	ENST00000438980	truncated	30	Breast, Muscle, Testis, Brain, Prostate, Pituitary, Skin, Nerve, Small Intestine, Adrenal Gland, Adipose Tissue, Thyroid, Colon, Lung, Salivary Gland, Pancreas, Esophagus, Blood Vessel, Blood, Stomach, Fallopian Tube, Uterus, Heart, Vagina, Bladder, Spleen, Liver, Ovary, Kidney, Cervix Uteri	ICL1, TM6, ECL3, TM7, H8, C-term	0	0	0	0
G137A	10	1	ENST00000535675	truncated	27	Breast, Muscle, Testis, Brain, Prostate, Skin, Nerve, Small Intestine, Adrenal Gland, Adipose Tissue, Thyroid, Colon, Lung, Salivary Gland, Esophagus, Blood Vessel, Blood, Stomach, Fallopian Tube, Uterus, Heart, Vagina, Bladder, Spleen, Liver, Kidney, Cervix Uteri	ICL1, TM3, ICL2, TM4, ECL2, TM5, ICL3, TM6, ECL3, TM7, H8, C-term	0	0	0	0
G137A	12	1	ENST00000540370	truncated	29	Breast, Muscle, Testis, Brain, Prostate, Pituitary, Skin, Nerve, Small Intestine, Adrenal Gland, Adipose Tissue, Thyroid, Colon, Lung, Salivary Gland, Esophagus, Blood Vessel, Blood, Stomach, Fallopian Tube, Uterus, Heart, Vagina, Bladder, Spleen, Liver, Ovary, Kidney, Cervix Uteri	ICL1, TM2, ECL1, TM3, ICL2, TM4, ECL2, TM5, ICL3, TM6, ECL3, TM7, H8, C-term	0	0	0	0
G137A	2	1	ENST00000377702	truncated	30	Breast, Muscle, Testis, Brain, Prostate, Pituitary, Skin, Nerve, Small Intestine, Adrenal Gland, Adipose Tissue, Thyroid, Colon, Lung, Salivary Gland, Pancreas, Esophagus, Blood Vessel, Blood, Stomach, Fallopian Tube, Uterus, Heart, Vagina, Bladder, Spleen, Liver, Ovary, Kidney, Cervix Uteri	ICL1, ECL2, TM5, TM6, ECL3, TM7, H8, C-term	0	0	0	0
G137A	3	1	ENST00000539851	truncated	30	Breast, Muscle, Testis, Brain, Prostate, Pituitary, Skin, Nerve, Small Intestine, Adrenal Gland, Adipose Tissue, Thyroid, Colon, Lung, Salivary Gland, Pancreas, Esophagus, Blood Vessel, Blood, Stomach, Fallopian Tube, Uterus, Heart, Vagina, Bladder, Spleen, Liver, Ovary, Kidney, Cervix Uteri	ICL1, ICL3, TM6, ECL3, TM7, H8, C-term	0	0	0	0
G137A	4	1	ENST00000543383	truncated	6	Breast, Testis, Prostate, Nerve, Thyroid, Lung	ICL1, ECL2, TM5, ICL3, TM6, ECL3, TM7, H8, C-term	0	0	0	0
G137A	5	1	ENST00000546139	truncated	22	Breast, Muscle, Testis, Brain, Prostate, Pituitary, Skin, Nerve, Small Intestine, Adrenal Gland, Adipose Tissue, Thyroid, Colon, Lung, Salivary Gland, Esophagus, Blood Vessel, Blood, Stomach, Fallopian Tube, Uterus, Liver	N-term, ICL1, ECL2, TM5, ICL3, TM6, ECL3, TM7, H8, C-term	0	0	0	0
G137A	6	1	ENST00000539833	truncated	30	Breast, Muscle, Testis, Brain, Prostate, Pituitary, Skin, Nerve, Small Intestine, Adrenal Gland, Adipose Tissue, Thyroid, Colon, Lung, Salivary Gland, Pancreas, Esophagus, Blood Vessel, Blood, Stomach, Fallopian Tube, Uterus, Heart, Vagina, Bladder, Spleen, Liver, Ovary, Kidney, Cervix Uteri	ICL1, ECL2, TM5, ICL3, TM6, ECL3, TM7, H8, C-term	0	0	0	0
G137A	7	1	ENST00000538032	truncated	15	Breast, Testis, Brain, Nerve, Small Intestine, Adrenal Gland, Adipose Tissue, Thyroid, Lung, Esophagus, Blood Vessel, Blood, Heart, Bladder, Spleen	ICL1, ICL2, TM4, ECL2, TM5, ICL3, TM6, ECL3, TM7, H8, C-term	0	0	0	0
G137A	8	1	ENST00000541952	truncated	6	Muscle, Pituitary, Thyroid, Lung, Blood Vessel, Blood	ICL1, TM3, ICL2, TM4, ECL2, TM5, ICL3, TM6, ECL3, TM7, H8, C-term	0	0	0	0
G137A	9	1	ENST00000542190	truncated	24	Breast, Muscle, Testis, Brain, Prostate, Pituitary, Skin, Nerve, Adrenal Gland, Adipose Tissue, Thyroid, Colon, Lung, Salivary Gland, Pancreas, Esophagus, Blood Vessel, Blood, Stomach, Uterus, Heart, Vagina, Spleen, Ovary	ICL1, TM3, ICL2, TM4, ECL2, TM5, ICL3, TM6, ECL3, TM7, H8, C-term	0	0	0	0
GABR1	1	1	ENST00000377016	preserved	21	Breast, Brain, Prostate, Pituitary, Skin, Nerve, Adrenal Gland, Adipose Tissue, Thyroid, Colon, Lung, Esophagus, Blood Vessel, Blood, Stomach, Uterus, Heart, Vagina, Bladder, Ovary, Cervix Uteri	N-term	Altered ligand binding / efficacy	0	0	0
GABR1	2	1	ENST00000377012	preserved	30	Breast, Muscle, Testis, Brain, Prostate, Pituitary, Skin, Nerve, Small Intestine, Adrenal Gland, Adipose Tissue, Thyroid, Colon, Lung, Salivary Gland, Pancreas, Esophagus, Blood Vessel, Blood, Stomach, Fallopian Tube, Uterus, Heart, Vagina, Bladder, Spleen, Liver, Ovary, Kidney, Cervix Uteri	N-term	Altered ligand binding / efficacy	0	Q9UBS5-2	https://www.proteomicsdb.org/proteomicsdb/#protein/proteinDetails/Q9UBS5-2/summary
GASR	1	1	ENST00000525462	preserved	4	Brain, Pancreas, Esophagus, Stomach	ICL3	Altered signalling properties	10913157	P32239-2	https://www.proteomicsdb.org/proteomicsdb/#protein/proteinDetails/P32239-2/summary
GASR	2	1	ENST00000532715	truncated	5	Brain, Pituitary, Nerve, Pancreas, Stomach	N-term, TM1, ICL1, TM2, ECL1, TM3	0	0	0	0
GASR	3	1	ENST00000525014	truncated	3	Brain, Pancreas, Stomach	TM2, ECL1, TM3, ICL2, TM4, ECL2, TM5, ICL3, TM6, ECL3, TM7, H8, C-term	0	0	0	0
GHSR	1	1	ENST00000427970	truncated	1	Pituitary	TM6, ECL3, TM7, H8, C-term	Intracellular retention of reference isoform	17229547	Q92847-2	https://www.proteomicsdb.org/proteomicsdb/#protein/proteinDetails/Q92847-2/summary
GIPR	1	1	ENST00000263281	preserved	16	Breast, Prostate, Skin, Small Intestine, Adipose Tissue, Colon, Lung, Salivary Gland, Pancreas, Blood, Stomach, Fallopian Tube, Heart, Vagina, Kidney, Cervix Uteri	H8, C-term	Altered signalling properties	0	0	0
GLP2R	1	1	ENST00000304773	truncated	14	Breast, Brain, Small Intestine, Adipose Tissue, Thyroid, Colon, Lung, Pancreas, Esophagus, Blood Vessel, Stomach, Uterus, Vagina, Bladder	N-term, TM1, TM4, ECL2, TM5, ICL3, TM6, ECL3, TM7, H8, C-term	0	0	0	0
GLR	1	1	ENST00000570996	truncated	7	Nerve, Adrenal Gland, Thyroid, Pancreas, Blood Vessel, Liver, Kidney	ECL1, TM7, H8, C-term	0	0	I3L454	https://www.proteomicsdb.org/proteomicsdb/#protein/proteinDetails/I3L454/summary
GNRHR	1	1	ENST00000420975	truncated	2	Pituitary, Thyroid	TM4, ECL2, TM5, ICL3, TM6, ECL3, TM7, H8, C-term	Intracellular retention of reference isoform	9259321	0	0
GP132	1	1	ENST00000392585	preserved	27	Breast, Testis, Prostate, Pituitary, Skin, Nerve, Small Intestine, Adrenal Gland, Adipose Tissue, Thyroid, Colon, Lung, Salivary Gland, Pancreas, Esophagus, Blood Vessel, Blood, Stomach, Fallopian Tube, Uterus, Heart, Vagina, Bladder, Spleen, Liver, Ovary, Kidney	N-term	Altered signalling properties	19855098	0	0
GP141	1	1	ENST00000450180	truncated	5	Adipose Tissue, Lung, Blood Vessel, Blood, Spleen	TM3, ICL2, TM4, ECL2, TM5, ICL3, TM6, ECL3, TM7, H8, C-term	0	0	0	0
GP143	1	1	ENST00000380929	preserved	24	Breast, Testis, Brain, Prostate, Pituitary, Skin, Small Intestine, Adrenal Gland, Adipose Tissue, Thyroid, Colon, Lung, Salivary Gland, Pancreas, Esophagus, Blood Vessel, Fallopian Tube, Uterus, Heart, Vagina, Bladder, Ovary, Kidney, Cervix Uteri	N-term	Altered ligand binding / efficacy	0	0	0
GP143	2	1	ENST00000447366	truncated	15	Breast, Brain, Prostate, Pituitary, Skin, Adrenal Gland, Thyroid, Colon, Lung, Salivary Gland, Esophagus, Blood Vessel, Vagina, Ovary, Kidney	N-term, TM1, ICL1, TM2, C-term	0	0	0	0
GP146	1	1	ENST00000444847	preserved	30	Breast, Muscle, Testis, Brain, Prostate, Pituitary, Skin, Nerve, Small Intestine, Adrenal Gland, Adipose Tissue, Thyroid, Colon, Lung, Salivary Gland, Pancreas, Esophagus, Blood Vessel, Blood, Stomach, Fallopian Tube, Uterus, Heart, Vagina, Bladder, Spleen, Liver, Ovary, Kidney, Cervix Uteri	C-term	Altered signalling properties / Altered internalisation	0	0	0
GP146	2	1	ENST00000427680	truncated	29	Breast, Muscle, Testis, Brain, Prostate, Pituitary, Skin, Nerve, Small Intestine, Adipose Tissue, Thyroid, Colon, Lung, Salivary Gland, Pancreas, Esophagus, Blood Vessel, Blood, Stomach, Fallopian Tube, Uterus, Heart, Vagina, Bladder, Spleen, Liver, Ovary, Kidney, Cervix Uteri	TM1, ICL1, TM2, ECL1, TM3, ICL2, TM4, ECL2, TM5, ICL3, TM6, ECL3, TM7, H8, C-term	0	0	0	0
GP156	1	1	ENST00000461057	preserved	1	Testis	ECL2	Altered ligand binding / efficacy	0	0	0
GP157	1	1	ENST00000414642	truncated	22	Breast, Muscle, Testis, Prostate, Skin, Nerve, Adrenal Gland, Adipose Tissue, Thyroid, Lung, Salivary Gland, Esophagus, Blood Vessel, Blood, Fallopian Tube, Uterus, Heart, Vagina, Bladder, Liver, Ovary, Cervix Uteri	ICL3, TM6, ECL3, TM7	0	0	0	0
GP160	1	1	ENST00000485735	truncated	25	Breast, Testis, Prostate, Pituitary, Skin, Nerve, Small Intestine, Adipose Tissue, Thyroid, Colon, Lung, Salivary Gland, Pancreas, Esophagus, Blood Vessel, Blood, Stomach, Uterus, Heart, Vagina, Bladder, Spleen, Liver, Ovary, Kidney	ECL2, TM5, ICL3, TM6, ECL3, TM7, H8, C-term	0	0	0	0
GP160	2	1	ENST00000473675	truncated	8	Breast, Nerve, Small Intestine, Adipose Tissue, Thyroid, Colon, Blood, Spleen	TM4, ECL2, TM5, ICL3, TM6, ECL3, TM7, H8, C-term	0	0	0	0
GP160	3	1	ENST00000482710	truncated	7	Breast, Skin, Small Intestine, Adipose Tissue, Colon, Lung, Blood	TM3, ICL2, TM4, ECL2, TM5, ICL3, TM6, ECL3, TM7, H8, C-term	0	0	0	0
GP160	4	1	ENST00000492492	truncated	13	Breast, Testis, Prostate, Nerve, Small Intestine, Adipose Tissue, Thyroid, Colon, Lung, Blood, Stomach, Spleen, Kidney	TM1, ICL1, TM2, ECL1, TM3, ICL2, TM4, ECL2, TM5, ICL3, TM6, ECL3, TM7, H8, C-term	0	0	0	0
GP161	1	1	ENST00000537209	preserved	7	Prostate, Skin, Colon, Lung, Esophagus, Blood Vessel, Uterus	N-term	Altered ligand binding / efficacy	0	0	0
GP161	2	1	ENST00000539777	truncated	11	Prostate, Skin, Nerve, Adipose Tissue, Colon, Lung, Esophagus, Blood Vessel, Fallopian Tube, Uterus, Spleen	N-term, TM1, ICL1, TM2, ECL1, TM3	0	0	0	0
GP161	3	1	ENST00000546300	truncated	4	Prostate, Colon, Lung, Esophagus	N-term, TM1, ICL1, TM2, ECL1, TM3	0	0	0	0
GP161	4	1	ENST00000367836	truncated	11	Prostate, Small Intestine, Adipose Tissue, Colon, Lung, Esophagus, Blood Vessel, Fallopian Tube, Uterus, Ovary, Cervix Uteri	N-term, TM1, ICL1, TM2, ECL1, TM3, ICL2	0	0	0	0
GP171	1	1	ENST00000480322	truncated	29	Breast, Muscle, Testis, Prostate, Pituitary, Skin, Nerve, Small Intestine, Adrenal Gland, Adipose Tissue, Thyroid, Colon, Lung, Salivary Gland, Pancreas, Esophagus, Blood Vessel, Blood, Stomach, Fallopian Tube, Uterus, Heart, Vagina, Bladder, Spleen, Liver, Ovary, Kidney, Cervix Uteri	TM1, ICL1, TM2, ECL1, TM3, ICL2, TM4, ECL2, TM5, ICL3, TM6, ECL3, TM7, H8, C-term	0	0	0	0
GP173	1	1	ENST00000375466	truncated	13	Breast, Brain, Prostate, Pituitary, Skin, Nerve, Thyroid, Colon, Lung, Blood Vessel, Uterus, Vagina, Ovary	ICL1, TM2, ECL1, TM3, ICL2, TM4, ECL2, TM5, ICL3, TM6, ECL3, TM7, H8, C-term	0	0	0	0
GP176	1	1	ENST00000299092	truncated	30	Breast, Muscle, Testis, Brain, Prostate, Pituitary, Skin, Nerve, Small Intestine, Adrenal Gland, Adipose Tissue, Thyroid, Colon, Lung, Salivary Gland, Pancreas, Esophagus, Blood Vessel, Blood, Stomach, Fallopian Tube, Uterus, Heart, Vagina, Bladder, Spleen, Liver, Ovary, Kidney, Cervix Uteri	TM1, ICL1, TM2	0	0	0	0
GP176	2	1	ENST00000543580	truncated	1	Testis	N-term, TM1	0	0	0	0
GPC5B	1	1	ENST00000535671	preserved	23	Breast, Muscle, Testis, Prostate, Pituitary, Skin, Nerve, Adrenal Gland, Adipose Tissue, Thyroid, Colon, Lung, Salivary Gland, Pancreas, Esophagus, Blood Vessel, Stomach, Uterus, Heart, Vagina, Liver, Ovary, Cervix Uteri	C-term	Altered signalling properties / Altered internalisation	0	0	0
GPC5B	2	1	ENST00000566822	truncated	4	Brain, Nerve, Thyroid, Esophagus	TM4, ECL2, TM5, ICL3, TM6, ECL3, TM7, H8, C-term	0	0	0	0
GPC5B	3	1	ENST00000570142	truncated	7	Muscle, Brain, Prostate, Skin, Adipose Tissue, Blood Vessel, Stomach	ICL1, TM2, ECL1, TM3, ICL2, TM4, ECL2, TM5, ICL3, TM6, ECL3, TM7, H8, C-term	0	0	0	0
GPC5D	1	1	ENST00000396333	preserved	26	Breast, Muscle, Testis, Prostate, Pituitary, Skin, Nerve, Small Intestine, Adrenal Gland, Adipose Tissue, Thyroid, Colon, Lung, Salivary Gland, Pancreas, Esophagus, Blood Vessel, Blood, Stomach, Heart, Vagina, Bladder, Spleen, Ovary, Kidney, Cervix Uteri	C-term	Altered signalling properties / Altered internalisation	0	Q9NZD1-2	https://www.proteomicsdb.org/proteomicsdb/#protein/proteinDetails/Q9NZD1-2/summary
GPC5D	2	1	ENST00000541128	truncated	24	Breast, Muscle, Testis, Prostate, Pituitary, Skin, Nerve, Small Intestine, Adipose Tissue, Thyroid, Colon, Lung, Salivary Gland, Pancreas, Esophagus, Blood Vessel, Blood, Stomach, Heart, Vagina, Spleen, Liver, Ovary, Cervix Uteri	ICL2, TM4, ECL2, TM5, ICL3, TM6, ECL3, TM7, H8, C-term	0	0	0	0
GPR1	1	1	ENST00000442134	truncated	11	Testis, Skin, Adrenal Gland, Adipose Tissue, Lung, Salivary Gland, Esophagus, Blood Vessel, Heart, Vagina, Ovary	TM5, ICL3, TM6, ECL3, TM7, H8, C-term	0	0	0	0
GPR1	2	1	ENST00000451790	truncated	11	Breast, Skin, Adrenal Gland, Adipose Tissue, Lung, Salivary Gland, Esophagus, Blood Vessel, Vagina, Ovary, Cervix Uteri	ECL2, TM5, ICL3, TM6, ECL3, TM7, H8, C-term	0	0	0	0
GPR1	3	1	ENST00000447845	truncated	11	Muscle, Testis, Skin, Adrenal Gland, Adipose Tissue, Salivary Gland, Esophagus, Blood Vessel, Heart, Vagina, Ovary	TM3, ICL2, TM4, ECL2, TM5, ICL3, TM6, ECL3, TM7, H8, C-term	0	0	0	0
GPR1	4	1	ENST00000411719	truncated	2	Muscle, Adipose Tissue	TM2, ECL1, TM3, ICL2, TM4, ECL2, TM5, ICL3, TM6, ECL3, TM7, H8, C-term	0	0	0	0
GPR17	1	1	ENST00000423019	truncated	7	Skin, Small Intestine, Adipose Tissue, Colon, Lung, Esophagus, Kidney	TM3, ICL2, TM4, ECL2, TM5, ICL3, TM6, ECL3, TM7, H8, C-term	0	0	0	0
GPR18	1	1	ENST00000416594	truncated	4	Testis, Small Intestine, Blood, Spleen	TM3, ICL2, TM4, ECL2, TM5, ICL3, TM6, ECL3, TM7, H8, C-term	0	0	0	0
GPR35	1	1	ENST00000438013	preserved	12	Nerve, Small Intestine, Thyroid, Colon, Pancreas, Esophagus, Blood Vessel, Blood, Stomach, Uterus, Spleen, Kidney	N-term	Altered ligand binding / efficacy	0	0	0
GPR6	1	1	ENST00000414000	preserved	2	Brain, Pituitary	N-term	Altered ligand binding / efficacy	0	0	0
GPR83	1	1	ENST00000539203	truncated	1	Brain	TM2, ECL1, TM3	0	0	0	0
GPR85	1	1	ENST00000449735	truncated	12	Testis, Brain, Pituitary, Skin, Nerve, Adipose Tissue, Thyroid, Lung, Blood Vessel, Uterus, Heart, Spleen	TM3, ICL2, TM4, ECL2, TM5, ICL3, TM6, ECL3, TM7, H8, C-term	0	0	0	0
GPR85	2	1	ENST00000438062	truncated	18	Breast, Testis, Brain, Prostate, Pituitary, Skin, Nerve, Adipose Tissue, Thyroid, Colon, Lung, Salivary Gland, Esophagus, Blood Vessel, Uterus, Heart, Vagina, Spleen	TM2, ECL1, TM3, ICL2, TM4, ECL2, TM5, ICL3, TM6, ECL3, TM7, H8, C-term	0	0	0	0
GPR98	1	1	ENST00000425867	preserved	22	Breast, Muscle, Testis, Brain, Prostate, Pituitary, Skin, Nerve, Adrenal Gland, Adipose Tissue, Thyroid, Lung, Salivary Gland, Pancreas, Esophagus, Blood Vessel, Blood, Heart, Vagina, Bladder, Liver, Kidney	N-term	Altered ligand binding / efficacy	0	0	0
GRM2	1	1	ENST00000442933	truncated	4	Testis, Brain, Skin, Adipose Tissue	N-term, TM1, ICL1, TM2, ECL1, TM3, ICL2, TM4, ECL2, TM5	0	0	0	0
GRM5	2	1	ENST00000393297	preserved	2	Testis, Brain	C-term	Altered signalling properties / Altered internalisation	0	0	0
GRM7	1	1	ENST00000486284	preserved	1	Brain	C-term	Altered signalling properties / Altered internalisation	0	0	0
GRM8	1	1	ENST00000358373	preserved	3	Brain, Lung, Ovary	C-term	Altered signalling properties / Altered internalisation	0	O00222-2	https://www.proteomicsdb.org/proteomicsdb/#protein/proteinDetails/O00222-2/summary
HRH2	1	1	ENST00000377291	preserved	29	Breast, Muscle, Testis, Brain, Prostate, Pituitary, Skin, Nerve, Small Intestine, Adrenal Gland, Adipose Tissue, Thyroid, Colon, Lung, Salivary Gland, Esophagus, Blood Vessel, Blood, Stomach, Fallopian Tube, Uterus, Heart, Vagina, Bladder, Spleen, Liver, Ovary, Kidney, Cervix Uteri	C-term	Altered signalling properties / Altered internalisation	0	0	0
HRH3	1	1	ENST00000317393	preserved	1	Brain	C-term	Altered signalling properties / Altered internalisation	0	0	0
KISSR	1	1	ENST00000606939	truncated	5	Brain, Pituitary, Colon, Pancreas, Blood	TM4, ECL2, TM5, ICL3, TM6, ECL3, TM7, H8, C-term	0	0	0	0
KISSR	2	1	ENST00000592648	truncated	6	Prostate, Pituitary, Pancreas, Esophagus, Blood, Kidney	TM2, ECL1, TM3, ICL2, TM4, ECL2, TM5, ICL3, TM6, ECL3, TM7, H8, C-term	0	0	0	0
LGR4	1	1	ENST00000389858	preserved	30	Breast, Muscle, Testis, Brain, Prostate, Pituitary, Skin, Nerve, Small Intestine, Adrenal Gland, Adipose Tissue, Thyroid, Colon, Lung, Salivary Gland, Pancreas, Esophagus, Blood Vessel, Blood, Stomach, Fallopian Tube, Uterus, Heart, Vagina, Bladder, Spleen, Liver, Ovary, Kidney, Cervix Uteri	N-term	Altered ligand binding / efficacy	0	0	0
LGR5	1	1	ENST00000540815	preserved	2	Muscle, Blood Vessel	N-term	Altered ligand binding / efficacy	0	0	0
LGR5	2	1	ENST00000536515	preserved	5	Muscle, Skin, Nerve, Adipose Tissue, Blood Vessel	N-term	Altered ligand binding / efficacy	0	0	0
LPAR1	1	1	ENST00000538760	preserved	30	Breast, Muscle, Testis, Brain, Prostate, Pituitary, Skin, Nerve, Small Intestine, Adrenal Gland, Adipose Tissue, Thyroid, Colon, Lung, Salivary Gland, Pancreas, Esophagus, Blood Vessel, Blood, Stomach, Fallopian Tube, Uterus, Heart, Vagina, Bladder, Spleen, Liver, Ovary, Kidney, Cervix Uteri	N-term	Altered ligand binding / efficacy	0	0	0
LPAR1	2	1	ENST00000541779	preserved	30	Breast, Muscle, Testis, Brain, Prostate, Pituitary, Skin, Nerve, Small Intestine, Adrenal Gland, Adipose Tissue, Thyroid, Colon, Lung, Salivary Gland, Pancreas, Esophagus, Blood Vessel, Blood, Stomach, Fallopian Tube, Uterus, Heart, Vagina, Bladder, Spleen, Liver, Ovary, Kidney, Cervix Uteri	N-term	Altered ligand binding / efficacy	0	0	0
LPAR1	3	1	ENST00000441240	truncated	28	Breast, Muscle, Testis, Brain, Prostate, Pituitary, Skin, Nerve, Small Intestine, Adrenal Gland, Adipose Tissue, Thyroid, Colon, Lung, Salivary Gland, Pancreas, Esophagus, Blood Vessel, Stomach, Fallopian Tube, Uterus, Heart, Vagina, Bladder, Spleen, Ovary, Kidney, Cervix Uteri	TM4, ECL2, TM5, ICL3, TM6, ECL3, TM7, H8, C-term	0	0	0	0
LPAR2	1	1	ENST00000591042	truncated	27	Breast, Testis, Brain, Prostate, Pituitary, Skin, Nerve, Small Intestine, Adrenal Gland, Adipose Tissue, Thyroid, Colon, Lung, Salivary Gland, Pancreas, Esophagus, Blood Vessel, Blood, Stomach, Fallopian Tube, Uterus, Vagina, Bladder, Spleen, Liver, Ovary, Kidney	TM2, ECL1, TM3, ICL2, TM4, ECL2, TM5, ICL3, TM6, ECL3, TM7, H8, C-term	0	0	0	0
LPAR2	2	1	ENST00000588233	truncated	1	Testis	TM2, ECL1, TM3, ICL2, TM4, ECL2, TM5, ICL3, TM6, ECL3, TM7, H8, C-term	0	0	0	0
LSHR	1	1	ENST00000405626	preserved	2	Nerve, Esophagus	N-term	Altered ligand binding / efficacy	12727981	0	0
LSHR	2	1	ENST00000344775	preserved	15	Breast, Testis, Prostate, Pituitary, Skin, Nerve, Adrenal Gland, Adipose Tissue, Thyroid, Lung, Esophagus, Blood Vessel, Stomach, Heart, Ovary	N-term	Intracellular retention of reference isoform	15031322	0	0
LT4R1	1	1	ENST00000556141	truncated	30	Breast, Muscle, Testis, Brain, Prostate, Pituitary, Skin, Nerve, Small Intestine, Adrenal Gland, Adipose Tissue, Thyroid, Colon, Lung, Salivary Gland, Pancreas, Esophagus, Blood Vessel, Blood, Stomach, Fallopian Tube, Uterus, Heart, Vagina, Bladder, Spleen, Liver, Ovary, Kidney, Cervix Uteri	N-term, TM1, ICL1, TM2, ECL1, TM3, C-term	0	0	0	0
MC5R	1	1	ENST00000589410	truncated	2	Skin, Esophagus	TM4, ECL2, TM5, ICL3, TM6, ECL3, TM7, H8, C-term	0	0	0	0
MRGRE	1	1	ENST00000436689	preserved	9	Brain, Prostate, Thyroid, Esophagus, Blood Vessel, Blood, Uterus, Vagina, Cervix Uteri	N-term	Altered ligand binding / efficacy	0	0	0
MRGX3	1	1	ENST00000531264	truncated	4	Breast, Salivary Gland, Esophagus, Vagina	TM7, H8, C-term	Intracellular retention of reference isoform	0	0	0
MSHR	1	1	ENST00000555427	preserved	29	Breast, Muscle, Testis, Brain, Prostate, Pituitary, Skin, Nerve, Small Intestine, Adrenal Gland, Adipose Tissue, Thyroid, Colon, Lung, Salivary Gland, Pancreas, Esophagus, Blood Vessel, Blood, Stomach, Fallopian Tube, Uterus, Heart, Vagina, Bladder, Spleen, Ovary, Kidney, Cervix Uteri	C-term	Altered signalling properties / Altered internalisation	0	0	0
MTLR	1	1	ENST00000398307	truncated	1	Stomach	TM6, ECL3, TM7, H8, C-term	Intracellular retention of reference isoform	0	0	0
NK1R	1	1	ENST00000409848	preserved	7	Breast, Prostate, Skin, Adipose Tissue, Blood, Uterus, Vagina	H8, C-term	Altered signalling properties	1310144	0	0
NK2R	1	1	ENST00000373307	truncated	24	Breast, Muscle, Testis, Brain, Prostate, Skin, Nerve, Small Intestine, Adipose Tissue, Thyroid, Colon, Lung, Salivary Gland, Esophagus, Blood Vessel, Stomach, Fallopian Tube, Uterus, Heart, Vagina, Bladder, Ovary, Kidney, Cervix Uteri	N-term, TM1, ICL1, TM2, ECL1, TM3, ICL2, TM4, ECL2, TM5	0	0	0	0
NPFF2	1	1	ENST00000358749	preserved	4	Breast, Testis, Prostate, Adipose Tissue	N-term	Altered ligand binding / efficacy	0	0	0
NPY1R	1	1	ENST00000509586	truncated	13	Breast, Testis, Brain, Skin, Nerve, Adrenal Gland, Adipose Tissue, Thyroid, Colon, Salivary Gland, Blood Vessel, Spleen, Ovary	N-term, TM1, ICL1, TM2, ECL1, TM3, ICL2, TM4, ECL2, TM5, ICL3, TM6	0	0	0	0
NPY1R	3	1	ENST00000504391	truncated	6	Breast, Adipose Tissue, Colon, Salivary Gland, Blood Vessel, Spleen	N-term, TM1, ICL1, TM2, ECL1, TM3, ICL2, TM4, ECL2, TM5, ICL3, TM6, TM7, H8, C-term	0	0	0	0
